,time,spline,prediction(trained case 1),prediction(all),target
137,0.010996032,0.8749824,0.8749824,0.8749824,0.9064463
138,0.0109976,0.8228624,0.8228624,0.8228624,0.96135235
139,0.010999168,0.7372756,-0.11193464,0.06279576,0.7372756
140,0.011000726,0.65775925,0.65775925,0.65775925,0.4139353
141,0.011002306,0.56495976,0.56495976,0.56495976,0.41280758
142,0.011003862,0.42292216,-0.08976681,0.06630264,0.42292216
143,0.011005383,0.22038747,0.22038747,0.22038747,0.20110765
144,0.011006899,0.031103535,0.031103535,0.03110354,0.03293952
145,0.011008432,-0.05789816,-0.07792282,0.04153333,-0.05789816
146,0.011009995,-0.008175258,-0.008175258,-0.0081753,0.10172258
147,0.011011592,0.09249218,0.09249218,0.09249218,0.22865632
148,0.01101321,0.14134778,-0.06492622,0.04125592,0.14134778
149,0.01101483,0.06864593,0.06864593,0.06864593,0.091753416
150,0.01101645,-0.067417644,-0.067417644,-0.0674176,0.024059633
151,0.011018069,-0.16786884,-0.08351144,0.06837688,-0.16786884
152,0.011019695,-0.14734532,-0.14734532,-0.1473453,-0.23725642
153,0.011021324,-0.064394966,-0.064394966,-0.064395,-0.06977416
154,0.011022909,-0.019858321,-0.15383522,0.0839534,-0.019858321
155,0.011024483,-0.07172675,-0.07172675,-0.0717268,-0.12662193
156,0.01102605,-0.1752892,-0.1752892,-0.1752892,-0.20747258
157,0.011027618,-0.27289218,-0.16029361,0.05920012,-0.27289218
158,0.011029211,-0.31461072,-0.31461072,-0.3146107,-0.3216788
159,0.011030844,-0.30739343,-0.30739343,-0.3073934,-0.22956324
160,0.011032528,-0.2759845,-0.16872646,0.04321728,-0.2759845
161,0.011034166,-0.23841466,-0.23841466,-0.2384147,-0.32671583
162,0.011035793,-0.19908346,-0.19908346,-0.1990835,-0.34817007
163,0.011037398,-0.15732345,-0.14443505,0.03186461,-0.15732345
164,0.011038978,-0.11566504,-0.11566504,-0.115665,-0.018307231
165,0.011040539,-0.08249147,-0.08249147,-0.0824915,0.003166397
166,0.011042105,-0.06800259,-0.11260977,0.01571367,-0.06800259
167,0.011043668,-0.07616682,-0.07616682,-0.0761668,-0.004154354
168,0.011045222,-0.074691564,-0.074691564,-0.0746916,0.000474187
169,0.011046778,-0.022635147,-0.09151632,-0.00139,-0.022635147
170,0.01104832,0.092055805,0.092055805,0.09205581,0.10534914
171,0.011049851,0.20917732,0.20917732,0.20917732,0.20460996
172,0.011051382,0.25007364,-0.100470744,-0.0186334,0.25007364
173,0.011052927,0.16449155,0.16449155,0.16449155,0.19481987
174,0.011054471,0.015204398,0.015204398,0.0152044,-0.031967606
175,0.011056009,-0.091448605,-0.102589995,-0.0261987,-0.091448605
176,0.01105758,-0.06970731,-0.06970731,-0.0697073,0.16215432
177,0.011059187,0.010853073,0.010853073,0.01085307,0.12918635
178,0.011060764,0.060713742,-0.09382049,-0.0278306,0.060713742
179,0.011062321,0.026506022,0.026506022,0.02650602,0.11884565
180,0.011063927,-0.029975742,-0.029975742,-0.0299757,0.19697428
181,0.011065569,-0.010662615,-0.13088578,-0.0413451,-0.010662615
182,0.011067181,0.13730612,0.13730612,0.13730612,-0.07361345
183,0.011068795,0.3228122,0.3228122,0.3228122,0.12880558
184,0.011070429,0.42744285,-0.10249546,-0.0221597,0.42744285
185,0.011072074,0.36205164,0.36205164,0.36205164,0.34777087
186,0.011073703,0.19623844,0.19623844,0.19623844,0.17782997
187,0.011075279,0.06673546,-0.07386331,0.00339514,0.06673546
188,0.011076834,0.07816697,0.07816697,0.07816697,0.05779599
189,0.011078402,0.16552667,0.16552667,0.16552667,0.19003192
190,0.011080014,0.22517993,-0.019951643,-0.0073245,0.22517993
191,0.011081649,0.1779967,0.1779967,0.1779967,0.05992926
192,0.011083246,0.065131575,0.065131575,0.06513158,-0.07097666
193,0.01108477,-0.041652534,-0.026128333,-0.03608,-0.041652534
194,0.011086334,-0.09437134,-0.09437134,-0.0943713,0.091389336
195,0.011087893,-0.11104169,-0.11104169,-0.1110417,0.006170852
196,0.011089415,-0.12395892,-0.02774552,-0.0471949,-0.12395892
197,0.011090984,-0.15332632,-0.15332632,-0.1533263,-0.1892486
198,0.011092593,-0.1793636,-0.1793636,-0.1793636,-0.21558824
199,0.011094207,-0.16928793,-0.034990743,-0.0487854,-0.16928793
200,0.011095837,-0.10007469,-0.10007469,-0.1000747,-0.102062814
201,0.011097481,-0.000647096,-0.000647096,-0.0006471,-0.018293526
202,0.011099115,0.09141853,-0.044779774,-0.04399,0.09141853
203,0.011100753,0.14785507,0.14785507,0.14785507,0.17745218
204,0.01110235,0.17555544,0.17555544,0.17555544,0.15826288
205,0.011103909,0.19216877,-0.060643144,-0.0191538,0.19216877
206,0.011105466,0.2090285,0.2090285,0.2090285,0.28020042
207,0.01110703,0.21351919,0.21351919,0.21351919,0.17245866
208,0.0111086,0.1857758,-0.08214233,0.01947296,0.1857758
209,0.011110159,0.1146329,0.1146329,0.1146329,0.053798787
210,0.011111679,0.039549682,0.039549682,0.03954968,0.02196152
211,0.011113185,0.014083914,-0.16654098,0.03638743,0.014083914
