,time,baseline,S^2 case,S^2 case 0,S^2 all,S^2 probe 1,S^2 probe all,target,target
94,0.00112548,50.372807,50.372807,50.372807,50.372807,50.372807,50.372807,50.419186,50.419186
95,0.0011255,52.159157,52.159157,52.159157,52.159157,52.159157,52.159157,52.19799,52.19799
96,0.00112552,47.11785,50.645763,43.424458,45.927685,46.391544,48.8226,54.093987,54.093987
97,0.00112554,56.107876,56.107876,56.107876,56.107876,56.107876,56.107876,56.043205,56.043205
98,0.00112556,58.10821,58.10821,58.10821,58.10821,58.10821,58.10821,58.01635,58.01635
99,0.00112558,59.99658,59.99658,59.99658,59.99658,59.99658,59.99658,59.99658,59.99658
100,0.00112561,62.52857,62.52857,62.52857,62.52857,62.52857,62.52857,61.971916,61.971916
101,0.00112563,64.15894,64.15894,64.15894,64.15894,64.15894,64.15894,63.936764,63.936764
102,0.00112565,58.102005,60.974277,52.48341,57.322525,57.258297,59.468945,65.886955,65.886955
103,0.00112567,67.79153,67.79153,67.79153,67.79153,67.79153,67.79153,67.830315,67.830315
104,0.00112569,69.77436,69.77436,69.77436,69.77436,69.77436,69.77436,69.76,69.76
105,0.00112571,71.69286,71.69286,71.69286,71.69286,71.69286,71.69286,71.69286,71.69286
106,0.00112573,73.443375,73.443375,73.443375,73.443375,73.443375,73.443375,73.63305,73.63305
107,0.00112575,75.07796,75.07796,75.07796,75.07796,75.07796,75.07796,75.580315,75.580315
108,0.00112578,70.1538,73.03991,65.21931,68.82259,68.54321,71.58665,77.51147,77.51147
109,0.0011258,79.23027,79.23027,79.23027,79.23027,79.23027,79.23027,79.3308,79.3308
110,0.00112582,81.007614,81.007614,81.007614,81.007614,81.007614,81.007614,81.08227,81.08227
111,0.00112584,82.79053,82.79053,82.79053,82.79053,82.79053,82.79053,82.79053,82.79053
112,0.00112586,84.53485,84.53485,84.53485,84.53485,84.53485,84.53485,84.46337,84.46337
113,0.00112588,86.23184,86.23184,86.23184,86.23184,86.23184,86.23184,86.124016,86.124016
114,0.0011259,82.160965,85.07054,77.95613,80.283295,79.74576,82.702774,87.881584,87.881584
115,0.00112592,89.50196,89.50196,89.50196,89.50196,89.50196,89.50196,89.79296,89.79296
116,0.00112595,92.07785,92.07785,92.07785,92.07785,92.07785,92.07785,91.84667,91.84667
117,0.00112597,94.047844,94.047844,94.047844,94.047844,94.047844,94.047844,94.047844,94.047844
118,0.00112599,96.32023,96.32023,96.32023,96.32023,96.32023,96.32023,96.409904,96.409904
119,0.00112601,98.87951,98.87951,98.87951,98.87951,98.87951,98.87951,98.951416,98.951416
120,0.00112603,94.221695,96.97505,89.70481,92.38177,91.163345,95.7557,101.68578,101.68578
121,0.00112605,104.67937,104.67937,104.67937,104.67937,104.67937,104.67937,104.59155,104.59155
122,0.00112607,107.7217,107.7217,107.7217,107.7217,107.7217,107.7217,107.59081,107.59081
123,0.00112609,110.65454,110.65454,110.65454,110.65454,110.65454,110.65454,110.65454,110.65454
124,0.00112612,114.67479,114.67479,114.67479,114.67479,114.67479,114.67479,113.798584,113.798584
125,0.00112614,117.26779,117.26779,117.26779,117.26779,117.26779,117.26779,116.91553,116.91553
126,0.00112616,111.40903,112.0308,104.83996,109.21841,107.52189,114.60683,119.964355,119.964355
127,0.00112618,122.84974,122.84974,122.84974,122.84974,122.84974,122.84974,122.91675,122.91675
128,0.0011262,125.75618,125.75618,125.75618,125.75618,125.75618,125.75618,125.74902,125.74902
129,0.00112622,128.45264,128.45264,128.45264,128.45264,128.45264,128.45264,128.45264,128.45264
130,0.00112624,130.77684,130.77684,130.77684,130.77684,130.77684,130.77684,131.02661,131.02661
131,0.00112626,132.84169,132.84169,132.84169,132.84169,132.84169,132.84169,133.48534,133.48534
132,0.00112629,129.14502,132.17435,123.116646,126.12863,125.13108,133.87094,135.8501,135.8501
133,0.00112631,138.0217,138.0217,138.0217,138.0217,138.0217,138.0217,138.15063,138.15063
134,0.00112633,140.33168,140.33168,140.33168,140.33168,140.33168,140.33168,140.42822,140.42822
135,0.00112635,142.72363,142.72363,142.72363,142.72363,142.72363,142.72363,142.72363,142.72363
136,0.00112637,145.13326,145.13326,145.13326,145.13326,145.13326,145.13326,145.04613,145.04613
137,0.00112639,147.46487,147.46487,147.46487,147.46487,147.46487,147.46487,147.35716,147.35716
138,0.00112641,145.68776,149.19757,138.6082,141.8447,141.2268,148.90746,149.61499,149.61499
139,0.00112643,151.51071,151.51071,151.51071,151.51071,151.51071,151.51071,151.76611,151.76611
140,0.00112646,153.99603,153.99603,153.99603,153.99603,153.99603,153.99603,153.75098,153.75098
141,0.00112648,155.53148,155.53148,155.53148,155.53148,155.53148,155.53148,155.53148,155.53148
142,0.0011265,157.0331,157.0331,157.0331,157.0331,157.0331,157.0331,157.09595,157.09595
143,0.00112652,158.42802,158.42802,158.42802,158.42802,158.42802,158.42802,158.45142,158.45142
144,0.00112654,159.00844,162.36046,152.40724,153.19,154.05031,162.58926,159.61278,159.61278
145,0.00112656,160.51976,160.51976,160.51976,160.51976,160.51976,160.51976,160.60596,160.60596
146,0.00112658,161.22487,161.22487,161.22487,161.22487,161.22487,161.22487,161.42503,161.42503
147,0.00112661,162.14867,162.14867,162.14867,162.14867,162.14867,162.14867,162.14867,162.14867
148,0.00112663,162.80629,162.80629,162.80629,162.80629,162.80629,162.80629,162.83179,162.83179
149,0.00112665,163.461,163.461,163.461,163.461,163.461,163.461,163.46362,163.46362
150,0.00112667,167.00713,171.36719,162.81496,160.56306,162.05646,171.6769,164.03223,164.03223
151,0.00112669,164.4518,164.4518,164.4518,164.4518,164.4518,164.4518,164.48167,164.48167
152,0.00112672,164.76059,164.76059,164.76059,164.76059,164.76059,164.76059,164.7224,164.7224
153,0.00112674,164.74414,164.74414,164.74414,164.74414,164.74414,164.74414,164.74414,164.74414
154,0.00112676,164.54276,164.54276,164.54276,164.54276,164.54276,164.54276,164.572,164.572
155,0.00112678,164.14961,164.14961,164.14961,164.14961,164.14961,164.14961,164.18799,164.18799
156,0.0011268,170.2452,175.72673,167.41663,163.21716,165.37172,175.47783,163.55762,163.55762
157,0.00112682,162.76555,162.76555,162.76555,162.76555,162.76555,162.76555,162.67381,162.67381
158,0.00112685,161.25275,161.25275,161.25275,161.25275,161.25275,161.25275,161.49437,161.49437
159,0.00112687,160.0686,160.0686,160.0686,160.0686,160.0686,160.0686,160.0686,160.0686
160,0.00112689,158.77203,158.77203,158.77203,158.77203,158.77203,158.77203,158.47949,158.47949
161,0.00112691,157.36783,157.36783,157.36783,157.36783,157.36783,157.36783,156.77588,156.77588
162,0.00112694,165.82147,169.2969,160.46558,159.73044,160.8511,169.96277,155.06006,155.06006
163,0.00112696,153.4041,153.4041,153.4041,153.4041,153.4041,153.4041,153.38452,153.38452
164,0.00112698,151.7412,151.7412,151.7412,151.7412,151.7412,151.7412,151.75487,151.75487
165,0.001127,150.17163,150.17163,150.17163,150.17163,150.17163,150.17163,150.17163,150.17163
166,0.00112702,148.7713,148.7713,148.7713,148.7713,148.7713,148.7713,148.64722,148.64722
167,0.00112705,146.9333,146.9333,146.9333,146.9333,146.9333,146.9333,147.19287,147.19287
168,0.00112707,155.80305,159.66963,149.6469,149.86034,150.9475,159.6025,145.81592,145.81592
169,0.00112709,144.73317,144.73317,144.73317,144.73317,144.73317,144.73317,144.49486,144.49486
170,0.00112711,143.64877,143.64877,143.64877,143.64877,143.64877,143.64877,143.20703,143.20703
171,0.00112714,141.94385,141.94385,141.94385,141.94385,141.94385,141.94385,141.94385,141.94385
172,0.00112716,140.72557,140.72557,140.72557,140.72557,140.72557,140.72557,140.71338,140.71338
173,0.00112718,139.50952,139.50952,139.50952,139.50952,139.50952,139.50952,139.52586,139.52586
174,0.0011272,146.90408,151.53554,142.00323,141.5225,142.34167,151.37766,138.3855,138.3855
175,0.00112722,137.41498,137.41498,137.41498,137.41498,137.41498,137.41498,137.29395,137.29395
176,0.00112725,136.12459,136.12459,136.12459,136.12459,136.12459,136.12459,136.25269,136.25269
177,0.00112727,135.25757,135.25757,135.25757,135.25757,135.25757,135.25757,135.25757,135.25757
178,0.00112729,134.31618,134.31618,134.31618,134.31618,134.31618,134.31618,134.29979,134.29979
179,0.00112731,133.34372,133.34372,133.34372,133.34372,133.34372,133.34372,133.35742,133.35742
180,0.00112733,139.46683,144.69344,135.89072,133.99434,135.23605,144.51828,132.40819,132.40819
181,0.00112735,131.55232,131.55232,131.55232,131.55232,131.55232,131.55232,131.42603,131.42603
182,0.00112738,130.2826,130.2826,130.2826,130.2826,130.2826,130.2826,130.39915,130.39915
183,0.0011274,129.32372,129.32372,129.32372,129.32372,129.32372,129.32372,129.32372,129.32372
