,time,baseline,S^ case,S^ case 0,S^ all,S^2 probe 1,S^2 probe all,target,target
111,0.00112584,20.677952,20.677952,20.677952,20.677952,20.677952,20.677952,20.677952,20.677952
112,0.00112586,22.106968,22.106968,22.106968,22.106968,22.106968,22.106968,22.057102,22.057102
113,0.00112588,23.396095,23.396095,23.396095,23.396095,23.396095,23.396095,23.342012,23.342012
114,0.0011259,18.471514,19.255142,20.849346,21.909117,17.833853,18.116917,24.531223,24.531223
115,0.00112592,25.507633,25.507633,25.507633,25.507633,25.507633,25.507633,25.62375,25.62375
116,0.00112595,26.74947,26.74947,26.74947,26.74947,26.74947,26.74947,26.61301,26.61301
117,0.00112597,27.49045,27.49045,27.49045,27.49045,27.49045,27.49045,27.49045,27.49045
118,0.00112599,28.19659,28.19659,28.19659,28.19659,28.19659,28.19659,28.246065,28.246065
119,0.00112601,28.83712,28.83712,28.83712,28.83712,28.83712,28.83712,28.872532,28.872532
120,0.00112603,25.782114,26.387442,28.281307,28.309744,23.81483,24.50796,29.366673,29.366673
121,0.00112605,29.750746,29.750746,29.750746,29.750746,29.750746,29.750746,29.734104,29.734104
122,0.00112607,29.998352,29.998352,29.998352,29.998352,29.998352,29.998352,30.000462,30.000462
123,0.00112609,30.129368,30.129368,30.129368,30.129368,30.129368,30.129368,30.129368,30.129368
124,0.00112612,30.134935,30.134935,30.134935,30.134935,30.134935,30.134935,30.114962,30.114962
125,0.00112614,30.003965,30.003965,30.003965,30.003965,30.003965,30.003965,29.990938,29.990938
126,0.00112616,28.943365,29.507082,32.86928,30.621914,25.92399,26.368757,29.755589,29.755589
127,0.00112618,29.389557,29.389557,29.389557,29.389557,29.389557,29.389557,29.413548,29.413548
128,0.0011262,28.937769,28.937769,28.937769,28.937769,28.937769,28.937769,28.970919,28.970919
129,0.00112622,28.440159,28.440159,28.440159,28.440159,28.440159,28.440159,28.440159,28.440159
130,0.00112624,27.925362,27.925362,27.925362,27.925362,27.925362,27.925362,27.83298,27.83298
131,0.00112626,27.376873,27.376873,27.376873,27.376873,27.376873,27.376873,27.160618,27.160618
132,0.00112629,27.703682,28.322393,31.02265,29.782082,25.15774,25.749699,26.430147,26.430147
133,0.00112631,25.683743,25.683743,25.683743,25.683743,25.683743,25.683743,25.650608,25.650608
134,0.00112633,24.854033,24.854033,24.854033,24.854033,24.854033,24.854033,24.825901,24.825901
135,0.00112635,23.96091,23.96091,23.96091,23.96091,23.96091,23.96091,23.96091,23.96091
136,0.00112637,23.028036,23.028036,23.028036,23.028036,23.028036,23.028036,23.066133,23.066133
137,0.00112639,22.09418,22.09418,22.09418,22.09418,22.09418,22.09418,22.143282,22.143282
138,0.00112641,23.208157,23.845896,25.354649,25.825697,21.546804,21.894566,21.201878,21.201878
139,0.00112643,20.378494,20.378494,20.378494,20.378494,20.378494,20.378494,20.25217,20.25217
140,0.00112646,19.19498,19.19498,19.19498,19.19498,19.19498,19.19498,19.304903,19.304903
141,0.00112648,18.3696,18.3696,18.3696,18.3696,18.3696,18.3696,18.3696,18.3696
142,0.0011265,17.479248,17.479248,17.479248,17.479248,17.479248,17.479248,17.457249,17.457249
143,0.00112652,16.578987,16.578987,16.578987,16.578987,16.578987,16.578987,16.578585,16.578585
144,0.00112654,17.52039,18.331764,20.310741,20.452166,16.462914,16.018951,15.7446,15.7446
145,0.00112656,15.032582,15.032582,15.032582,15.032582,15.032582,15.032582,14.9655485,14.9655485
146,0.00112658,14.422266,14.422266,14.422266,14.422266,14.422266,14.422266,14.25046,14.25046
147,0.00112661,13.61008,13.61008,13.61008,13.61008,13.61008,13.61008,13.61008,13.61008
148,0.00112663,13.093179,13.093179,13.093179,13.093179,13.093179,13.093179,13.055392,13.055392
149,0.00112665,12.621939,12.621939,12.621939,12.621939,12.621939,12.621939,12.594699,12.594699
150,0.00112667,12.871073,13.738142,14.766105,15.422939,11.409842,10.165276,12.240206,12.240206
151,0.00112669,11.982636,11.982636,11.982636,11.982636,11.982636,11.982636,11.996798,11.996798
152,0.00112672,11.821567,11.821567,11.821567,11.821567,11.821567,11.821567,11.866426,11.866426
153,0.00112674,11.847872,11.847872,11.847872,11.847872,11.847872,11.847872,11.847872,11.847872
154,0.00112676,11.97025,11.97025,11.97025,11.97025,11.97025,11.97025,11.944063,11.944063
155,0.00112678,12.1890135,12.1890135,12.1890135,12.1890135,12.1890135,12.1890135,12.16086,12.16086
156,0.0011268,10.1288,11.615874,12.040706,12.647205,8.557332,6.503358,12.506807,12.506807
157,0.00112682,12.924386,12.924386,12.924386,12.924386,12.924386,12.924386,12.994601,12.994601
158,0.00112685,13.722398,13.722398,13.722398,13.722398,13.722398,13.722398,13.603976,13.603976
159,0.00112687,14.3561735,14.3561735,14.3561735,14.3561735,14.3561735,14.3561735,14.3561735,14.3561735
160,0.00112689,15.071489,15.071489,15.071489,15.071489,15.071489,15.071489,15.259006,15.259006
161,0.00112691,15.910947,15.910947,15.910947,15.910947,15.910947,15.910947,16.313204,16.313204
162,0.00112694,12.946816,13.769038,14.82672,15.512735,11.503377,10.335077,17.518526,17.518526
163,0.00112696,18.875711,18.875711,18.875711,18.875711,18.875711,18.875711,18.87131,18.87131
164,0.00112698,20.398771,20.398771,20.398771,20.398771,20.398771,20.398771,20.36594,20.36594
165,0.001127,21.997288,21.997288,21.997288,21.997288,21.997288,21.997288,21.997288,21.997288
