,time,spline,prediction probe,prediction case,prediction cases across domain,target
144,0.011063267,1031.9996,6827.1743,6432.731,284.5639,1031.9996
145,0.011064911,1480.2399,1480.2399,1480.2399,1480.2399,6858.741
146,0.011066594,4718.517,4718.517,4718.517,4718.517,8459.882
147,0.01106819,6855.5386,866.98004,-449.51428,3524.242,6855.5386
148,0.011069716,5758.228,5758.228,5758.228,5758.228,2506.8198
149,0.011071222,2919.746,2919.746,2919.746,2919.746,746.92926
150,0.011072764,386.4996,1164.0652,631.62933,3707.752,386.4996
151,0.011074395,-54.845745,-54.845745,-54.845745,-54.845745,182.33556
152,0.011076059,1310.0804,1310.0804,1310.0804,1310.0804,1856.7573
153,0.011077729,3323.5151,80.91348,2590.259,-254.6721,3323.5151
154,0.011079392,4994.552,4994.552,4994.552,4994.552,1950.6324
155,0.011081029,6252.67,6252.67,6252.67,6252.67,4201.359
156,0.011082673,7291.0303,4766.401,5539.031,3616.628,7291.0303
157,0.011084336,8127.554,8127.554,8127.554,8127.554,7244.4756
158,0.011086011,8169.003,8169.003,8169.003,8169.003,3899.648
159,0.011087705,6639.265,6425.198,8723.148,8990.74,6639.265
160,0.011089358,3411.6448,3411.6448,3411.6448,3411.6448,13123.421
161,0.011090931,458.43362,458.43362,458.43362,458.43362,11489.116
162,0.011092464,-304.25818,446.2191,321.14395,1736.2668,-304.25818
163,0.011093996,2144.068,2144.068,2144.068,2144.068,-998.8831
164,0.011095562,5769.147,5769.147,5769.147,5769.147,7451.015
165,0.011097101,7454.335,5088.1587,1888.9164,4099.4985,7454.335
166,0.011098631,5259.651,5259.651,5259.651,5259.651,3419.0698
167,0.011100166,818.0653,818.0653,818.0653,818.0653,-851.0394
168,0.011101713,-3334.297,-91.40548,-464.63696,2453.5767,-3334.297
169,0.011103306,-5162.646,-5162.646,-5162.646,-5162.646,-1095.3752
170,0.011104912,-4910.241,-4910.241,-4910.241,-4910.241,-1341.3988
171,0.01110653,-3608.508,-5688.249,-4652.2466,-2631.4558,-3608.508
172,0.011108136,-2124.6038,-2124.6038,-2124.6038,-2124.6038,-4528.063
173,0.011109775,-342.3224,-342.3224,-342.3224,-342.3224,-2574.6174
174,0.011111409,2014.5778,169.04013,-552.2638,-3139.685,2014.5778
