,time,spline,prediction probe,prediction one case,prediction all case,target
186,0.011097562,3866.7915,4164.427,641.2897,-333.32574,3866.7915
187,0.011099159,4766.179,4766.179,4766.179,4766.179,3800.448
188,0.011100814,6012.014,6012.014,6012.014,6012.014,3810.2446
189,0.011102523,7086.9165,7620.5024,275.67502,801.37866,7086.9165
190,0.011104236,7522.5996,7522.5996,7522.5996,7522.5996,4707.4946
191,0.011105895,7467.212,7467.212,7467.212,7467.212,5501.0967
192,0.0111075,7216.4634,8895.56,61.830154,1831.1564,7216.4634
193,0.011109104,6902.4956,6902.4956,6902.4956,6902.4956,10694.706
194,0.011110724,6203.4634,6203.4634,6203.4634,6203.4634,6388.7837
195,0.011112389,4630.057,9520.169,44.46474,2515.6016,4630.057
196,0.011114073,1998.8456,1998.8456,1998.8456,1998.8456,4138.9556
197,0.011115736,-547.0738,-547.0738,-547.0738,-547.0738,-1456.2007
198,0.011117347,-1664.3649,7478.1084,166.32549,1561.4606,-1664.3649
199,0.011118938,-737.14215,-737.14215,-737.14215,-737.14215,-1787.3179
200,0.011120587,941.104,941.104,941.104,941.104,2894.7993
201,0.011122263,1329.4243,5597.391,-24.146082,738.9327,1329.4243
202,0.011123955,-1009.39343,-1009.39343,-1009.39343,-1009.39343,-3604.849
203,0.011125634,-4396.4062,-4396.4062,-4396.4062,-4396.4062,-8894.943
204,0.011127279,-6442.06,2859.0557,5.9776793,193.2663,-6442.06
205,0.011128887,-5664.1846,-5664.1846,-5664.1846,-5664.1846,9600.479
206,0.011130475,-3104.2656,-3104.2656,-3104.2656,-3104.2656,11769.167
207,0.011132046,-281.98975,2275.9592,113.230705,-203.842,-281.98975
208,0.0111336,1668.408,1668.408,1668.408,1668.408,-6066.42
209,0.011135165,2841.9949,2841.9949,2841.9949,2841.9949,-4639.8804
210,0.011136764,3589.401,3181.094,31.937836,-200.42888,3589.401
211,0.011138361,4124.919,4124.919,4124.919,4124.919,1362.0181
